"Belts","wax","index","values"
"Puna","FAMEs","abu_total",179.15673420739
"Prepuna","FAMEs","abu_total",277.601714354702
"Prepuna","FAMEs","abu_total",189.709595959596
"Prepuna","FAMEs","abu_total",428.357946791693
"Prepuna","FAMEs","abu_total",356.945878806487
"Hyperarid Desert","FAMEs","abu_total",64.2756704322132
"Prepuna","FAMEs","abu_total",709.768785797086
"Prepuna","FAMEs","abu_total",231.70106865759
"Prepuna","FAMEs","abu_total",290.467651816174
"Hyperarid Desert","FAMEs","abu_total",22.256541011529
"Hyperarid Desert","FAMEs","abu_total",190.723638570933
"Coastal","FAMEs","abu_total",91.1586559444381
"Coastal","FAMEs","abu_total",1615.36901865369
"Coastal","FAMEs","abu_total",211.570180909367
"Puna","FAMEs","abu_total",38.8078489448352
"Puna","FAMEs","abu_total",433.267100013727
"Prepuna","FAMEs","abu_total",171.709075865787
"Puna","FAMEs","abu_total",50.8662609185005
"Puna","FAMEs","abu_total",143.104203746573
"Puna","FAMEs","abu_total",93.7951622655628
"Steppe","FAMEs","abu_total",116.058386952263
"Puna","FAMEs","abu_total",140.249433106576
"Puna","FAMEs","abu_total",611.516104440633
"Coastal","FAMEs","abu_total",142.394822006473
"Coastal","FAMEs","abu_total",227.989594114521
"Coastal","FAMEs","abu_total",231.159613999359
"Prepuna","FAMEs","abu_total",52.0410422971876
"Hyperarid Desert","FAMEs","abu_total",157.862254335878
"Hyperarid Desert","FAMEs","abu_total",113.407930899097
"Prepuna","n-Alkanes","abu_total",193.272562628512
"Prepuna","n-Alkanes","abu_total",65.5224302933986
"Prepuna","n-Alkanes","abu_total",168.54783322445
"Hyperarid Desert","n-Alkanes","abu_total",38.7215679098601
"Puna","n-Alkanes","abu_total",42.4084617773953
"Puna","n-Alkanes","abu_total",32.3831611497645
"Puna","n-Alkanes","abu_total",54.8099599075369
"Coastal","n-Alkanes","abu_total",184.317935453785
"Coastal","n-Alkanes","abu_total",339.868869830127
"Steppe","n-Alkanes","abu_total",117.357571000324
"Steppe","n-Alkanes","abu_total",17.3241187880854
"Puna","n-Alkanes","abu_total",351.901299638989
"Puna","n-Alkanes","abu_total",154.782473586078
"Puna","n-Alkanes","abu_total",251.239211135329
"Prepuna","n-Alkanes","abu_total",158.340578721857
"Prepuna","n-Alkanes","abu_total",236.875896671713
"Prepuna","n-Alkanes","abu_total",208.117384391985
"Prepuna","n-Alkanes","abu_total",160.729607917988
"Prepuna","n-Alkanes","abu_total",264.111620605083
"Hyperarid Desert","n-Alkanes","abu_total",59.9269733599664
"Hyperarid Desert","n-Alkanes","abu_total",68.3359771797611
"Coastal","n-Alkanes","abu_total",407.167919799499
"Coastal","n-Alkanes","abu_total",332.412907724105
"Puna","n-Alkanes","abu_total",183.058289964651
"Prepuna","n-Alkanes","abu_total",228.579978579979
"Prepuna","n-Alkanes","abu_total",221.214342531712
"Prepuna","n-Alkanes","abu_total",87.6812293810002
"Hyperarid Desert","n-Alkanes","abu_total",60.3316940801661
"Hyperarid Desert","n-Alkanes","abu_total",121.40414603166
"Puna","n-Alkanes","abu_total",94.1398574106092
"Puna","n-Alkanes","abu_total",63.9563762536013
"Coastal","n-Alkanes","abu_total",789.95012460112
"Coastal","n-Alkanes","abu_total",113.71587170063
"Coastal","n-Alkanes","abu_total",27.0075638766993
"Surface Sediment","FAMEs","abu_total",57.233776848429
"Surface Sediment","FAMEs","abu_total",154.487263535137
"Surface Sediment","FAMEs","abu_total",140.223812769825
"Surface Sediment","n-Alkanes","abu_total",7.4366219646175
"Surface Sediment","n-Alkanes","abu_total",3.9566310434141
"Surface Sediment","n-Alkanes","abu_total",10.5232806371002
"Surface Sediment","n-Alkanes","abu_total",19.1138297345863
"Surface Sediment","n-Alkanes","abu_total",9.79217766622934
"Surface Sediment","n-Alkanes","abu_total",11.8687141098583
